person,no_offer_spending,optimum_offer_spending,spending_increased,pct_change
6813,23.231156182646846,25.091666212568917,1.8605100299220716,8.00868460998867
12815,18.295934349587355,20.948338897639903,2.652404548052548,14.497234726426367
3167,11.541954704827983,14.073435166534258,2.531480461706275,21.932857357752077
2611,3.5561373509199603,9.597052321214587,6.040914970294627,169.87293723994839
9721,12.47245881797656,14.760702087858016,2.2882432698814554,18.346368613247364
2796,19.55483960794528,22.06016564378245,2.5053260358371716,12.81179537171575
4265,29.07474517683738,31.191126248337987,2.1163810715006086,7.27910445518416
11066,19.481873931270137,22.039773873930628,2.557899942660491,13.129640155174371
12077,10.953476568301626,13.847585806768615,2.8941092384669886,26.421832560835345
14033,15.856153705688582,18.84865323382191,2.9924995281333278,18.87279591052231
11805,26.192211750446752,28.792584560505286,2.600372810058534,9.928038284182627
13387,2.77232148457267,10.487758992807958,7.715437508235288,278.3024101342474
1684,18.67691096974883,21.100061899046494,2.423150929297666,12.974045511179376
7622,22.746976254712045,24.787483915752617,2.0405076610405715,8.970456724409171
13623,2.250653596540045,10.797518038515275,8.546864441975229,379.75032919834575
904,14.877888648792888,17.370035047491967,2.492146398699079,16.750672474627493
9090,3.047448552864492,10.295064751554236,7.247616198689744,237.82571134391245
6233,3.957550400676173,10.077850347992554,6.120299947316381,154.6486924404219
147,2.3111824664511,10.469650233733699,8.158467767282598,352.999725712276
10984,6.579738296752536,12.390842907557088,5.811104610804552,88.31817237583222
4985,25.438601338791063,27.94556196721785,2.5069606284267856,9.854946799311426
10864,3.3416262941923325,9.45077739139624,6.109151097203908,182.8196979363452
9345,2.1582940138392837,10.742155399987395,8.583861386148111,397.7151088362933
6642,7.836637186189304,13.569339480594227,5.732702294404923,73.15258009529654
8921,13.444329681877171,15.806291173717392,2.361961491840221,17.568458582387514
5864,24.310301183075595,26.545725151272663,2.2354239681970682,9.195377512448633
9116,26.771077310044735,28.960134501203637,2.189057191158902,8.176948450025767
2850,8.526883476769452,14.259585771174375,5.732702294404923,67.23092100440957
14407,27.98283845281661,30.885958923928065,2.903120471111457,10.374646146089027
10478,7.7086232314219565,13.519727842226512,5.811104610804556,75.3844679698092
11485,13.542671621219824,15.9840912467968,2.441419625576975,18.027607062047846
13225,2.343611929114836,10.67420418209186,8.330592252977024,355.45954300221644
12015,22.284235377396406,24.50326225127428,2.2190268738778727,9.95783268439492
9472,12.272502996984997,14.508059925982874,2.2355569289978767,18.215981935772096
2584,15.920139458188899,18.44196717124062,2.521827713051721,15.840487576599461
3248,11.768833638318204,14.450325182500556,2.681491544182352,22.784683908281878
7985,19.729640173416822,22.26610261834033,2.536462444923508,12.856100884906496
3256,29.30368368287037,31.379540551323135,2.075856868452764,7.083945113925094
7280,2.4404116077853564,10.569538644383362,8.129127036598007,333.1047521108576
14249,31.93153126715492,35.282703475425365,3.3511722082704445,10.49486847415142
8751,19.019862944411127,21.128295275465916,2.1084323310547894,11.085423366178038
3571,3.6415596835155912,9.349420871280826,5.707861187765234,156.74221168482455
6234,2.1898623204698597,10.646917554493179,8.457055234023318,386.1911844854594
2101,1.8115926689323762,10.714105139568945,8.90251247063657,491.4191044879352
